Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,logSalePrice
1,12.339974651335453,12.085885034361516,65.0,8450,12.025522495249092,11.936093526689717,12.02269397302858,12.024182958480877,12.00189962660944,12.0205649310742,12.163641307701864,12.04291612709755,12.025895254415694,12.047512415928205,12.182686209840618,12.221772660081584,12.144177854414044,2003,2003,11.984199753311575,12.019216214618552,12.20587264918594,12.209630627095029,12.163629742442435,196.0,12.311282455535837,12.043077827796978,12.261665131561195,12.179882358539462,12.04261484090755,11.955653412075753,12.301936995160133,706,12.043738116747505,0,150,856,12.032077892096211,12.20762619892906,12.061089985718422,12.061439667758602,856,854,0,1710,1,0,2,1,3,1,12.222336663076506,8,12.038511131398728,0,11.808907293600358,12.16077753342227,2003.0,12.172672333572622,2,548,12.068539413468748,12.070483200383846,12.059894850096232,0,61,0,0,0,0,12.05859851230732,0,2,2008,11.99106086274981,12.005033692506249,208500,12.247694320220994
2,12.052787750227314,12.085885034361516,80.0,9600,12.025522495249092,11.936093526689717,12.02269397302858,12.024182958480877,12.03474140601455,12.0205649310742,12.344175869139775,11.818333821287085,12.025895254415694,12.047512415928205,11.993682778640787,11.967308314089223,11.90939142906435,1976,1976,11.984199753311575,12.019216214618552,11.859767396993869,11.862285886957245,11.896883990084053,0.0,11.837985209456932,12.043077827796978,11.870079702687168,12.179882358539462,12.04261484090755,12.364359274012367,11.953313219579172,978,12.043738116747505,0,284,1262,12.032077892096211,12.20762619892906,12.061089985718422,12.061439667758602,1262,0,0,1262,0,1,2,0,3,1,11.810591800844753,6,12.038511131398728,1,12.186415513744642,12.16077753342227,1976.0,12.172672333572622,2,460,12.068539413468748,12.070483200383846,12.059894850096232,298,0,0,0,0,0,12.05859851230732,0,5,2007,11.99106086274981,12.005033692506249,181500,12.109010932687042
3,12.339974651335453,12.085885034361516,68.0,11250,12.025522495249092,12.163465349551254,12.02269397302858,12.024182958480877,12.00189962660944,12.0205649310742,12.163641307701864,12.04291612709755,12.025895254415694,12.047512415928205,12.182686209840618,12.221772660081584,12.144177854414044,2001,2002,11.984199753311575,12.019216214618552,12.20587264918594,12.209630627095029,12.163629742442435,162.0,12.311282455535837,12.043077827796978,12.261665131561195,12.179882358539462,12.04261484090755,12.094819384841182,12.301936995160133,486,12.043738116747505,0,434,920,12.032077892096211,12.20762619892906,12.061089985718422,12.061439667758602,920,866,0,1786,1,0,2,1,3,1,12.222336663076506,6,12.038511131398728,1,12.186415513744642,12.16077753342227,2001.0,12.172672333572622,2,608,12.068539413468748,12.070483200383846,12.059894850096232,0,42,0,0,0,0,12.05859851230732,0,9,2008,11.99106086274981,12.005033692506249,223500,12.31716669303576
4,11.964044773370812,12.085885034361516,60.0,9550,12.025522495249092,12.163465349551254,12.02269397302858,12.024182958480877,12.027445609949833,12.0205649310742,12.206658874866639,12.04291612709755,12.025895254415694,12.047512415928205,12.182686209840618,12.221772660081584,12.144177854414044,1915,1970,11.984199753311575,12.019216214618552,11.838506037800695,11.892242417087257,11.896883990084053,0.0,11.837985209456932,12.043077827796978,11.722527714114745,11.810855438908401,12.220279058123259,11.955653412075753,11.953313219579172,216,12.043738116747505,0,540,756,12.032077892096211,11.910370598718645,12.061089985718422,12.061439667758602,961,756,0,1717,1,0,1,0,3,1,12.222336663076506,7,12.038511131398728,1,12.256533232533704,11.765643303311364,1998.0,11.818974312364766,3,642,12.068539413468748,12.070483200383846,12.059894850096232,0,35,272,0,0,0,12.05859851230732,0,2,2006,11.99106086274981,11.788774283871026,140000,11.84939770159144
5,12.339974651335453,12.085885034361516,84.0,14260,12.025522495249092,12.163465349551254,12.02269397302858,12.024182958480877,12.03474140601455,12.0205649310742,12.676000124908816,12.04291612709755,12.025895254415694,12.047512415928205,12.182686209840618,12.497191281206467,12.144177854414044,2000,2000,11.984199753311575,12.019216214618552,12.20587264918594,12.209630627095029,12.163629742442435,350.0,12.311282455535837,12.043077827796978,12.261665131561195,12.179882358539462,12.04261484090755,12.158267145628631,12.301936995160133,655,12.043738116747505,0,490,1145,12.032077892096211,12.20762619892906,12.061089985718422,12.061439667758602,1145,1053,0,2198,1,0,2,1,4,1,12.222336663076506,9,12.038511131398728,1,12.186415513744642,12.16077753342227,2000.0,12.172672333572622,3,836,12.068539413468748,12.070483200383846,12.059894850096232,192,84,0,0,0,0,12.05859851230732,0,12,2008,11.99106086274981,12.005033692506249,250000,12.429216196844383
6,11.814536570724563,12.085885034361516,85.0,14115,12.025522495249092,12.163465349551254,12.02269397302858,12.024182958480877,12.00189962660944,12.0205649310742,11.933947606576133,12.04291612709755,12.025895254415694,12.047512415928205,11.813528016838491,11.780657241570376,12.144177854414044,1993,1995,11.984199753311575,12.019216214618552,12.20587264918594,12.209630627095029,11.896883990084053,0.0,11.837985209456932,12.043077827796978,12.102479270964253,12.179882358539462,12.04261484090755,11.955653412075753,12.301936995160133,732,12.043738116747505,0,64,796,12.032077892096211,12.20762619892906,12.061089985718422,12.061439667758602,796,566,0,1362,1,0,1,1,1,1,11.810591800844753,5,12.038511131398728,0,11.808907293600358,12.16077753342227,1993.0,11.818974312364766,2,480,12.068539413468748,12.070483200383846,12.059894850096232,40,30,0,320,0,0,11.850596405177294,700,10,2009,11.99106086274981,12.005033692506249,143000,11.870599909242044
7,12.052787750227314,12.085885034361516,75.0,10084,12.025522495249092,11.936093526689717,12.02269397302858,12.024182958480877,12.00189962660944,12.0205649310742,12.296495472617684,12.04291612709755,12.025895254415694,12.047512415928205,11.993682778640787,12.497191281206467,12.144177854414044,2004,2005,11.984199753311575,12.019216214618552,12.20587264918594,12.209630627095029,12.42513794043919,186.0,12.311282455535837,12.043077827796978,12.261665131561195,12.640393913483537,12.04261484090755,12.158267145628631,12.301936995160133,1369,12.043738116747505,0,317,1686,12.032077892096211,12.20762619892906,12.061089985718422,12.061439667758602,1694,0,0,1694,1,0,2,0,3,1,12.222336663076506,7,12.038511131398728,1,12.256533232533704,12.16077753342227,2004.0,12.172672333572622,2,636,12.068539413468748,12.070483200383846,12.059894850096232,255,57,0,0,0,0,12.05859851230732,0,8,2007,11.99106086274981,12.005033692506249,307000,12.634603026569334
8,12.339974651335453,12.085885034361516,80.0,10382,12.025522495249092,12.163465349551254,12.02269397302858,12.024182958480877,12.027445609949833,12.0205649310742,12.130608869884242,12.2379893814225,12.025895254415694,12.047512415928205,12.182686209840618,12.221772660081584,11.890024397771397,1973,1973,11.984199753311575,12.019216214618552,11.951898529608227,11.974932626443643,12.42513794043919,240.0,11.837985209456932,12.043077827796978,11.870079702687168,12.179882358539462,12.04261484090755,12.094819384841182,11.953313219579172,859,11.888155394274264,32,216,1107,12.032077892096211,12.20762619892906,12.061089985718422,12.061439667758602,1107,983,0,2090,1,0,2,1,3,1,11.810591800844753,7,12.038511131398728,2,12.186415513744642,12.16077753342227,1973.0,12.172672333572622,2,484,12.068539413468748,12.070483200383846,12.059894850096232,235,204,228,0,0,0,12.05859851230732,350,11,2009,11.99106086274981,12.005033692506249,200000,12.206072645530174
9,11.814536570724563,11.692892609084135,51.0,6120,12.025522495249092,11.936093526689717,12.02269397302858,12.024182958480877,12.00189962660944,12.0205649310742,11.703864612968268,11.741749974179259,12.025895254415694,12.047512415928205,11.813528016838491,12.221772660081584,12.144177854414044,1931,1950,11.984199753311575,12.019216214618552,12.088139839093579,11.892242417087257,11.896883990084053,0.0,11.837985209456932,12.043077827796978,11.722527714114745,11.810855438908401,12.04261484090755,11.955653412075753,11.963997506081839,0,12.043738116747505,0,952,952,12.032077892096211,11.910370598718645,12.061089985718422,11.539624377891478,1022,752,0,1774,0,0,2,0,2,2,11.810591800844753,8,11.862166856180643,2,12.186415513744642,11.765643303311364,1931.0,11.818974312364766,2,468,11.674844952273473,12.070483200383846,12.059894850096232,90,0,205,0,0,0,12.05859851230732,0,4,2008,11.99106086274981,11.788774283871026,129900,11.77452020265869
10,11.734853136033282,12.085885034361516,50.0,7420,12.025522495249092,11.936093526689717,12.02269397302858,12.024182958480877,12.027445609949833,12.0205649310742,11.679726905369053,11.741749974179259,11.570036037015239,11.725353188810766,11.59502725201057,11.780657241570376,11.890024397771397,1939,1950,11.984199753311575,12.019216214618552,11.859767396993869,11.862285886957245,11.896883990084053,0.0,11.837985209456932,12.043077827796978,11.722527714114745,11.810855438908401,12.04261484090755,11.955653412075753,12.301936995160133,851,12.043738116747505,0,140,991,12.032077892096211,12.20762619892906,12.061089985718422,12.061439667758602,1077,0,0,1077,1,0,1,0,2,2,11.810591800844753,5,12.038511131398728,2,12.186415513744642,12.16077753342227,1939.0,12.172672333572622,1,205,12.220067524098784,12.070483200383846,12.059894850096232,0,4,0,0,0,0,12.05859851230732,0,1,2008,11.99106086274981,12.005033692506249,118000,11.678439903447801
